Home Team,Away Team,Score
Crystal Palace FC,Arsenal FC,0 - 2
Fulham FC,Liverpool FC,2 - 2
Tottenham Hotspur FC,Southampton FC,4 - 1
Newcastle United FC,Nottingham Forest FC,2 - 0
Leeds United FC,Wolverhampton Wanderers FC,2 - 1
AFC Bournemouth,Aston Villa FC,2 - 0
Everton FC,Chelsea FC,0 - 1
Manchester United FC,Brighton & Hove Albion FC,1 - 2
Leicester City FC,Brentford FC,2 - 2
West Ham United FC,Manchester City FC,0 - 2
Aston Villa FC,Everton FC,2 - 1
Wolverhampton Wanderers FC,Fulham FC,0 - 0
Southampton FC,Leeds United FC,2 - 2
Manchester City FC,AFC Bournemouth,4 - 0
Brighton & Hove Albion FC,Newcastle United FC,0 - 0
Arsenal FC,Leicester City FC,4 - 2
Brentford FC,Manchester United FC,4 - 0
Nottingham Forest FC,West Ham United FC,1 - 0
Chelsea FC,Tottenham Hotspur FC,2 - 2
Liverpool FC,Crystal Palace FC,1 - 1
Tottenham Hotspur FC,Wolverhampton Wanderers FC,1 - 0
Leicester City FC,Southampton FC,1 - 2
Fulham FC,Brentford FC,3 - 2
Everton FC,Nottingham Forest FC,1 - 1
Crystal Palace FC,Aston Villa FC,3 - 1
AFC Bournemouth,Arsenal FC,0 - 3
West Ham United FC,Brighton & Hove Albion FC,0 - 2
Leeds United FC,Chelsea FC,3 - 0
Newcastle United FC,Manchester City FC,3 - 3
Manchester United FC,Liverpool FC,2 - 1
Southampton FC,Manchester United FC,0 - 1
Manchester City FC,Crystal Palace FC,4 - 2
Liverpool FC,AFC Bournemouth,9 - 0
Chelsea FC,Leicester City FC,2 - 1
Brighton & Hove Albion FC,Leeds United FC,1 - 0
Brentford FC,Everton FC,1 - 1
Arsenal FC,Fulham FC,2 - 1
Wolverhampton Wanderers FC,Newcastle United FC,1 - 1
Aston Villa FC,West Ham United FC,0 - 1
Nottingham Forest FC,Tottenham Hotspur FC,0 - 2
Crystal Palace FC,Brentford FC,1 - 1
Fulham FC,Brighton & Hove Albion FC,2 - 1
Southampton FC,Chelsea FC,2 - 1
Leeds United FC,Everton FC,1 - 1
Manchester City FC,Nottingham Forest FC,6 - 0
AFC Bournemouth,Wolverhampton Wanderers FC,0 - 0
Arsenal FC,Aston Villa FC,2 - 1
West Ham United FC,Tottenham Hotspur FC,1 - 1
Liverpool FC,Newcastle United FC,2 - 1
Leicester City FC,Manchester United FC,0 - 1
Everton FC,Liverpool FC,0 - 0
Wolverhampton Wanderers FC,Southampton FC,1 - 0
Tottenham Hotspur FC,Fulham FC,2 - 1
Nottingham Forest FC,AFC Bournemouth,2 - 3
Newcastle United FC,Crystal Palace FC,0 - 0
Chelsea FC,West Ham United FC,2 - 1
Brentford FC,Leeds United FC,5 - 2
Aston Villa FC,Manchester City FC,1 - 1
Brighton & Hove Albion FC,Leicester City FC,5 - 2
Manchester United FC,Arsenal FC,3 - 1
Nottingham Forest FC,Fulham FC,2 - 3
Aston Villa FC,Southampton FC,1 - 0
Wolverhampton Wanderers FC,Manchester City FC,0 - 3
Newcastle United FC,AFC Bournemouth,1 - 1
Tottenham Hotspur FC,Leicester City FC,6 - 2
Brentford FC,Arsenal FC,0 - 3
Everton FC,West Ham United FC,1 - 0
Arsenal FC,Tottenham Hotspur FC,3 - 1
Southampton FC,Everton FC,1 - 2
Liverpool FC,Brighton & Hove Albion FC,3 - 3
Fulham FC,Newcastle United FC,1 - 4
Crystal Palace FC,Chelsea FC,1 - 2
AFC Bournemouth,Brentford FC,0 - 0
West Ham United FC,Wolverhampton Wanderers FC,2 - 0
Manchester City FC,Manchester United FC,6 - 3
Leeds United FC,Aston Villa FC,0 - 0
Leicester City FC,Nottingham Forest FC,4 - 0
Newcastle United FC,Brentford FC,5 - 1
Manchester City FC,Southampton FC,4 - 0
Chelsea FC,Wolverhampton Wanderers FC,3 - 0
AFC Bournemouth,Leicester City FC,2 - 1
Brighton & Hove Albion FC,Tottenham Hotspur FC,0 - 1
West Ham United FC,Fulham FC,3 - 1
Crystal Palace FC,Leeds United FC,2 - 1
Arsenal FC,Liverpool FC,3 - 2
Everton FC,Manchester United FC,1 - 2
Nottingham Forest FC,Aston Villa FC,1 - 1
Brentford FC,Brighton & Hove Albion FC,2 - 0
Leicester City FC,Crystal Palace FC,0 - 0
Wolverhampton Wanderers FC,Nottingham Forest FC,1 - 0
Fulham FC,AFC Bournemouth,2 - 2
Tottenham Hotspur FC,Everton FC,2 - 0
Southampton FC,West Ham United FC,1 - 1
Manchester United FC,Newcastle United FC,0 - 0
Leeds United FC,Arsenal FC,0 - 1
Aston Villa FC,Chelsea FC,0 - 2
Liverpool FC,Manchester City FC,1 - 0
Brighton & Hove Albion FC,Nottingham Forest FC,0 - 0
Crystal Palace FC,Wolverhampton Wanderers FC,2 - 1
Liverpool FC,West Ham United FC,1 - 0
Newcastle United FC,Everton FC,1 - 0
Brentford FC,Chelsea FC,0 - 0
AFC Bournemouth,Southampton FC,0 - 1
Manchester United FC,Tottenham Hotspur FC,2 - 0
Fulham FC,Aston Villa FC,3 - 0
Leicester City FC,Leeds United FC,2 - 0
Nottingham Forest FC,Liverpool FC,1 - 0
Manchester City FC,Brighton & Hove Albion FC,3 - 1
Everton FC,Crystal Palace FC,3 - 0
Chelsea FC,Manchester United FC,1 - 1
Southampton FC,Arsenal FC,1 - 1
Leeds United FC,Fulham FC,2 - 3
Aston Villa FC,Brentford FC,4 - 0
Wolverhampton Wanderers FC,Leicester City FC,0 - 4
Tottenham Hotspur FC,Newcastle United FC,1 - 2
West Ham United FC,AFC Bournemouth,2 - 0
Leicester City FC,Manchester City FC,0 - 1
Newcastle United FC,Aston Villa FC,4 - 0
Crystal Palace FC,Southampton FC,1 - 0
Brighton & Hove Albion FC,Chelsea FC,4 - 1
Brentford FC,Wolverhampton Wanderers FC,1 - 1
AFC Bournemouth,Tottenham Hotspur FC,2 - 3
Fulham FC,Everton FC,0 - 0
Liverpool FC,Leeds United FC,1 - 2
Arsenal FC,Nottingham Forest FC,5 - 0
Manchester United FC,West Ham United FC,1 - 0
Wolverhampton Wanderers FC,Brighton & Hove Albion FC,2 - 3
Nottingham Forest FC,Brentford FC,2 - 2
Manchester City FC,Fulham FC,2 - 1
Leeds United FC,AFC Bournemouth,4 - 3
Everton FC,Leicester City FC,0 - 2
Chelsea FC,Arsenal FC,0 - 1
West Ham United FC,Crystal Palace FC,1 - 2
Southampton FC,Newcastle United FC,1 - 4
Aston Villa FC,Manchester United FC,3 - 1
Tottenham Hotspur FC,Liverpool FC,1 - 2
Manchester City FC,Brentford FC,1 - 2
West Ham United FC,Leicester City FC,0 - 2
Tottenham Hotspur FC,Leeds United FC,4 - 3
Nottingham Forest FC,Crystal Palace FC,1 - 0
Liverpool FC,Southampton FC,3 - 1
AFC Bournemouth,Everton FC,3 - 0
Newcastle United FC,Chelsea FC,1 - 0
Wolverhampton Wanderers FC,Arsenal FC,0 - 2
Brighton & Hove Albion FC,Aston Villa FC,1 - 2
Fulham FC,Manchester United FC,1 - 2
Brentford FC,Tottenham Hotspur FC,2 - 2
Southampton FC,Brighton & Hove Albion FC,1 - 3
Leicester City FC,Newcastle United FC,0 - 3
Everton FC,Wolverhampton Wanderers FC,1 - 2
Crystal Palace FC,Fulham FC,0 - 3
Aston Villa FC,Liverpool FC,1 - 3
Arsenal FC,West Ham United FC,3 - 1
Chelsea FC,AFC Bournemouth,2 - 0
Manchester United FC,Nottingham Forest FC,3 - 0
Leeds United FC,Manchester City FC,1 - 3
West Ham United FC,Brentford FC,0 - 2
Liverpool FC,Leicester City FC,2 - 1
Wolverhampton Wanderers FC,Manchester United FC,0 - 1
Newcastle United FC,Leeds United FC,0 - 0
Manchester City FC,Everton FC,1 - 1
Fulham FC,Southampton FC,2 - 1
AFC Bournemouth,Crystal Palace FC,0 - 2
Brighton & Hove Albion FC,Arsenal FC,2 - 4
Tottenham Hotspur FC,Aston Villa FC,0 - 2
Nottingham Forest FC,Chelsea FC,1 - 1
Brentford FC,Liverpool FC,3 - 1
Leicester City FC,Fulham FC,0 - 1
Everton FC,Brighton & Hove Albion FC,1 - 4
Arsenal FC,Newcastle United FC,0 - 0
Manchester United FC,AFC Bournemouth,3 - 0
Southampton FC,Nottingham Forest FC,0 - 1
Leeds United FC,West Ham United FC,2 - 2
Crystal Palace FC,Tottenham Hotspur FC,0 - 4
Aston Villa FC,Wolverhampton Wanderers FC,1 - 1
Chelsea FC,Manchester City FC,0 - 1
Fulham FC,Chelsea FC,2 - 1
Aston Villa FC,Leeds United FC,2 - 1
Manchester United FC,Manchester City FC,2 - 1
Wolverhampton Wanderers FC,West Ham United FC,1 - 0
Nottingham Forest FC,Leicester City FC,2 - 0
Everton FC,Southampton FC,1 - 2
Brighton & Hove Albion FC,Liverpool FC,3 - 0
Brentford FC,AFC Bournemouth,2 - 0
Newcastle United FC,Fulham FC,1 - 0
Chelsea FC,Crystal Palace FC,1 - 0
Tottenham Hotspur FC,Arsenal FC,0 - 2
Crystal Palace FC,Manchester United FC,1 - 1
Manchester City FC,Tottenham Hotspur FC,4 - 2
Liverpool FC,Chelsea FC,0 - 0
West Ham United FC,Everton FC,2 - 0
Southampton FC,Aston Villa FC,0 - 1
Leicester City FC,Brighton & Hove Albion FC,2 - 2
AFC Bournemouth,Nottingham Forest FC,1 - 1
Crystal Palace FC,Newcastle United FC,0 - 0
Manchester City FC,Wolverhampton Wanderers FC,3 - 0
Leeds United FC,Brentford FC,0 - 0
Arsenal FC,Manchester United FC,3 - 2
Fulham FC,Tottenham Hotspur FC,0 - 1
Chelsea FC,Fulham FC,0 - 0
Everton FC,Arsenal FC,1 - 0
Wolverhampton Wanderers FC,Liverpool FC,3 - 0
Manchester United FC,Crystal Palace FC,2 - 1
Brighton & Hove Albion FC,AFC Bournemouth,1 - 0
Brentford FC,Southampton FC,3 - 0
Aston Villa FC,Leicester City FC,2 - 4
Newcastle United FC,West Ham United FC,1 - 1
Nottingham Forest FC,Leeds United FC,1 - 0
Tottenham Hotspur FC,Manchester City FC,1 - 0
Manchester United FC,Leeds United FC,2 - 2
West Ham United FC,Chelsea FC,1 - 1
Southampton FC,Wolverhampton Wanderers FC,1 - 2
Leicester City FC,Tottenham Hotspur FC,4 - 1
Fulham FC,Nottingham Forest FC,2 - 0
Crystal Palace FC,Brighton & Hove Albion FC,1 - 1
Arsenal FC,Brentford FC,1 - 1
AFC Bournemouth,Newcastle United FC,1 - 1
Leeds United FC,Manchester United FC,0 - 2
Manchester City FC,Aston Villa FC,3 - 1
Liverpool FC,Everton FC,2 - 0
Arsenal FC,Manchester City FC,1 - 3
Aston Villa FC,Arsenal FC,2 - 4
Wolverhampton Wanderers FC,AFC Bournemouth,0 - 1
Nottingham Forest FC,Manchester City FC,1 - 1
Everton FC,Leeds United FC,1 - 0
Chelsea FC,Southampton FC,0 - 1
Brighton & Hove Albion FC,Fulham FC,0 - 1
Brentford FC,Crystal Palace FC,1 - 1
Newcastle United FC,Liverpool FC,0 - 2
Manchester United FC,Leicester City FC,3 - 0
Tottenham Hotspur FC,West Ham United FC,2 - 0
Fulham FC,Wolverhampton Wanderers FC,1 - 1
West Ham United FC,Nottingham Forest FC,4 - 0
Leicester City FC,Arsenal FC,0 - 1
Leeds United FC,Southampton FC,1 - 0
Everton FC,Aston Villa FC,0 - 2
AFC Bournemouth,Manchester City FC,1 - 4
Crystal Palace FC,Liverpool FC,0 - 0
Tottenham Hotspur FC,Chelsea FC,2 - 0
Arsenal FC,Everton FC,4 - 0
Liverpool FC,Wolverhampton Wanderers FC,2 - 0
Manchester City FC,Newcastle United FC,2 - 0
Wolverhampton Wanderers FC,Tottenham Hotspur FC,1 - 0
Chelsea FC,Leeds United FC,1 - 0
Brighton & Hove Albion FC,West Ham United FC,4 - 0
Aston Villa FC,Crystal Palace FC,1 - 0
Arsenal FC,AFC Bournemouth,3 - 2
Southampton FC,Leicester City FC,1 - 0
Nottingham Forest FC,Everton FC,2 - 2
Liverpool FC,Manchester United FC,7 - 0
Brentford FC,Fulham FC,3 - 2
AFC Bournemouth,Liverpool FC,1 - 0
Tottenham Hotspur FC,Nottingham Forest FC,3 - 1
Leicester City FC,Chelsea FC,1 - 3
Leeds United FC,Brighton & Hove Albion FC,2 - 2
Everton FC,Brentford FC,1 - 0
Crystal Palace FC,Manchester City FC,0 - 1
West Ham United FC,Aston Villa FC,1 - 1
Manchester United FC,Southampton FC,0 - 0
Fulham FC,Arsenal FC,0 - 3
Newcastle United FC,Wolverhampton Wanderers FC,2 - 1
Brighton & Hove Albion FC,Crystal Palace FC,1 - 0
Southampton FC,Brentford FC,0 - 2
Nottingham Forest FC,Newcastle United FC,1 - 2
Wolverhampton Wanderers FC,Leeds United FC,2 - 4
Southampton FC,Tottenham Hotspur FC,3 - 3
Brentford FC,Leicester City FC,1 - 1
Aston Villa FC,AFC Bournemouth,3 - 0
Chelsea FC,Everton FC,2 - 2
Arsenal FC,Crystal Palace FC,4 - 1
Manchester City FC,Liverpool FC,4 - 1
Nottingham Forest FC,Wolverhampton Wanderers FC,1 - 1
Crystal Palace FC,Leicester City FC,2 - 1
Brighton & Hove Albion FC,Brentford FC,3 - 3
AFC Bournemouth,Fulham FC,2 - 1
Arsenal FC,Leeds United FC,4 - 1
Chelsea FC,Aston Villa FC,0 - 2
West Ham United FC,Southampton FC,1 - 0
Newcastle United FC,Manchester United FC,2 - 0
Everton FC,Tottenham Hotspur FC,1 - 1
Leicester City FC,Aston Villa FC,1 - 2
Leeds United FC,Nottingham Forest FC,2 - 1
AFC Bournemouth,Brighton & Hove Albion FC,0 - 2
Chelsea FC,Liverpool FC,0 - 0
West Ham United FC,Newcastle United FC,1 - 5
Manchester United FC,Brentford FC,1 - 0
Manchester United FC,Everton FC,2 - 0
Wolverhampton Wanderers FC,Chelsea FC,1 - 0
Tottenham Hotspur FC,Brighton & Hove Albion FC,2 - 1
Leicester City FC,AFC Bournemouth,0 - 1
Fulham FC,West Ham United FC,0 - 1
Brentford FC,Newcastle United FC,1 - 2
Aston Villa FC,Nottingham Forest FC,2 - 0
Southampton FC,Manchester City FC,1 - 4
Leeds United FC,Crystal Palace FC,1 - 5
Liverpool FC,Arsenal FC,2 - 2
Aston Villa FC,Newcastle United FC,3 - 0
Wolverhampton Wanderers FC,Brentford FC,2 - 0
Southampton FC,Crystal Palace FC,0 - 2
Everton FC,Fulham FC,1 - 3
Chelsea FC,Brighton & Hove Albion FC,1 - 2
Tottenham Hotspur FC,AFC Bournemouth,2 - 3
Manchester City FC,Leicester City FC,3 - 1
West Ham United FC,Arsenal FC,2 - 2
Nottingham Forest FC,Manchester United FC,0 - 2
Leeds United FC,Liverpool FC,1 - 6
Arsenal FC,Southampton FC,3 - 3
Fulham FC,Leeds United FC,2 - 1
Liverpool FC,Nottingham Forest FC,3 - 2
Leicester City FC,Wolverhampton Wanderers FC,2 - 1
Crystal Palace FC,Everton FC,0 - 0
Brentford FC,Aston Villa FC,1 - 1
Newcastle United FC,Tottenham Hotspur FC,6 - 1
AFC Bournemouth,West Ham United FC,0 - 4
Wolverhampton Wanderers FC,Crystal Palace FC,2 - 0
Aston Villa FC,Fulham FC,1 - 0
Leeds United FC,Leicester City FC,1 - 1
Nottingham Forest FC,Brighton & Hove Albion FC,3 - 1
Chelsea FC,Brentford FC,0 - 2
West Ham United FC,Liverpool FC,1 - 2
Manchester City FC,Arsenal FC,4 - 1
Southampton FC,AFC Bournemouth,0 - 1
Everton FC,Newcastle United FC,1 - 4
Tottenham Hotspur FC,Manchester United FC,2 - 2
Crystal Palace FC,West Ham United FC,4 - 3
Brighton & Hove Albion FC,Wolverhampton Wanderers FC,6 - 0
Brentford FC,Nottingham Forest FC,2 - 1
Newcastle United FC,Southampton FC,3 - 1
Manchester United FC,Aston Villa FC,1 - 0
Fulham FC,Manchester City FC,1 - 2
AFC Bournemouth,Leeds United FC,4 - 1
Liverpool FC,Tottenham Hotspur FC,4 - 3
Leicester City FC,Everton FC,2 - 2
Arsenal FC,Chelsea FC,3 - 1
Manchester City FC,West Ham United FC,3 - 0
Liverpool FC,Fulham FC,1 - 0
Brighton & Hove Albion FC,Manchester United FC,1 - 0
Wolverhampton Wanderers FC,Aston Villa FC,1 - 0
Tottenham Hotspur FC,Crystal Palace FC,1 - 0
Manchester City FC,Leeds United FC,2 - 1
AFC Bournemouth,Chelsea FC,1 - 3
Liverpool FC,Brentford FC,1 - 0
Newcastle United FC,Arsenal FC,0 - 2
West Ham United FC,Manchester United FC,1 - 0
Fulham FC,Leicester City FC,5 - 3
Brighton & Hove Albion FC,Everton FC,1 - 5
Nottingham Forest FC,Southampton FC,4 - 3
Leeds United FC,Newcastle United FC,2 - 2
Southampton FC,Fulham FC,0 - 2
Manchester United FC,Wolverhampton Wanderers FC,2 - 0
Crystal Palace FC,AFC Bournemouth,2 - 0
Chelsea FC,Nottingham Forest FC,2 - 2
Aston Villa FC,Tottenham Hotspur FC,2 - 1
Everton FC,Manchester City FC,0 - 3
Brentford FC,West Ham United FC,2 - 0
Arsenal FC,Brighton & Hove Albion FC,0 - 3
Leicester City FC,Liverpool FC,0 - 3
Newcastle United FC,Brighton & Hove Albion FC,4 - 1
Tottenham Hotspur FC,Brentford FC,1 - 3
Wolverhampton Wanderers FC,Everton FC,1 - 1
Liverpool FC,Aston Villa FC,1 - 1
Fulham FC,Crystal Palace FC,2 - 2
AFC Bournemouth,Manchester United FC,0 - 1
Nottingham Forest FC,Arsenal FC,1 - 0
West Ham United FC,Leeds United FC,3 - 1
Brighton & Hove Albion FC,Southampton FC,3 - 1
Manchester City FC,Chelsea FC,1 - 0
Newcastle United FC,Leicester City FC,0 - 0
Brighton & Hove Albion FC,Manchester City FC,1 - 1
Manchester United FC,Chelsea FC,4 - 1
Southampton FC,Liverpool FC,4 - 4
Manchester United FC,Fulham FC,2 - 1
Leicester City FC,West Ham United FC,2 - 1
Leeds United FC,Tottenham Hotspur FC,1 - 4
Everton FC,AFC Bournemouth,1 - 0
Crystal Palace FC,Nottingham Forest FC,1 - 1
Chelsea FC,Newcastle United FC,1 - 1
Brentford FC,Manchester City FC,1 - 0
Aston Villa FC,Brighton & Hove Albion FC,2 - 1
Arsenal FC,Wolverhampton Wanderers FC,5 - 0
Burnley FC,Manchester City FC,0 - 3
Arsenal FC,Nottingham Forest FC,2 - 1
AFC Bournemouth,West Ham United FC,1 - 1
Brighton & Hove Albion FC,Luton Town FC,4 - 1
Everton FC,Fulham FC,0 - 1
Sheffield United FC,Crystal Palace FC,0 - 1
Newcastle United FC,Aston Villa FC,5 - 1
Brentford FC,Tottenham Hotspur FC,2 - 2
Chelsea FC,Liverpool FC,1 - 1
