Home Team,Away Team,Score
Everton FC,AFC Bournemouth,2 - 3
Ipswich Town FC,Fulham FC,1 - 1
Leicester City FC,Aston Villa FC,1 - 2
Nottingham Forest FC,Wolverhampton Wanderers FC,1 - 1
West Ham United FC,Manchester City FC,1 - 3
Chelsea FC,Crystal Palace FC,1 - 1
Newcastle United FC,Tottenham Hotspur FC,2 - 1
Manchester United FC,Liverpool FC,0 - 3
Southampton FC,Manchester United FC,0 - 3
Brighton & Hove Albion FC,Ipswich Town FC,0 - 0
Crystal Palace FC,Leicester City FC,2 - 2
Fulham FC,West Ham United FC,1 - 1
Liverpool FC,Nottingham Forest FC,0 - 1
Manchester City FC,Brentford FC,2 - 1
Aston Villa FC,Everton FC,3 - 2
AFC Bournemouth,Chelsea FC,0 - 1
Tottenham Hotspur FC,Arsenal FC,0 - 1
Wolverhampton Wanderers FC,Newcastle United FC,1 - 2
West Ham United FC,Chelsea FC,0 - 3
Aston Villa FC,Wolverhampton Wanderers FC,3 - 1
Fulham FC,Newcastle United FC,3 - 1
Leicester City FC,Everton FC,1 - 1
Liverpool FC,AFC Bournemouth,3 - 0
Southampton FC,Ipswich Town FC,1 - 1
Tottenham Hotspur FC,Brentford FC,3 - 1
Crystal Palace FC,Manchester United FC,0 - 0
Brighton & Hove Albion FC,Nottingham Forest FC,2 - 2
Manchester City FC,Arsenal FC,2 - 2
Newcastle United FC,Manchester City FC,1 - 1
Arsenal FC,Leicester City FC,4 - 2
Brentford FC,West Ham United FC,1 - 1
Chelsea FC,Brighton & Hove Albion FC,4 - 2
Everton FC,Crystal Palace FC,2 - 1
Nottingham Forest FC,Fulham FC,0 - 1
Wolverhampton Wanderers FC,Liverpool FC,1 - 2
Ipswich Town FC,Aston Villa FC,2 - 2
Manchester United FC,Tottenham Hotspur FC,0 - 3
AFC Bournemouth,Southampton FC,3 - 1
Crystal Palace FC,Liverpool FC,0 - 1
Arsenal FC,Southampton FC,3 - 1
Brentford FC,Wolverhampton Wanderers FC,5 - 3
Leicester City FC,AFC Bournemouth,1 - 0
Manchester City FC,Fulham FC,3 - 2
West Ham United FC,Ipswich Town FC,4 - 1
Everton FC,Newcastle United FC,0 - 0
Aston Villa FC,Manchester United FC,0 - 0
Chelsea FC,Nottingham Forest FC,1 - 1
Brighton & Hove Albion FC,Tottenham Hotspur FC,3 - 2
Tottenham Hotspur FC,West Ham United FC,4 - 1
Fulham FC,Aston Villa FC,1 - 3
Ipswich Town FC,Everton FC,0 - 2
Manchester United FC,Brentford FC,2 - 1
Newcastle United FC,Brighton & Hove Albion FC,0 - 1
Southampton FC,Leicester City FC,2 - 3
AFC Bournemouth,Arsenal FC,2 - 0
Wolverhampton Wanderers FC,Manchester City FC,1 - 2
Liverpool FC,Chelsea FC,2 - 1
Nottingham Forest FC,Crystal Palace FC,1 - 0
Leicester City FC,Nottingham Forest FC,1 - 3
Aston Villa FC,AFC Bournemouth,1 - 1
Brentford FC,Ipswich Town FC,4 - 3
Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2 - 2
Manchester City FC,Southampton FC,1 - 0
Everton FC,Fulham FC,1 - 1
Chelsea FC,Newcastle United FC,2 - 1
Crystal Palace FC,Tottenham Hotspur FC,1 - 0
West Ham United FC,Manchester United FC,2 - 1
Arsenal FC,Liverpool FC,2 - 2
Newcastle United FC,Arsenal FC,1 - 0
AFC Bournemouth,Manchester City FC,2 - 1
Ipswich Town FC,Leicester City FC,1 - 1
Liverpool FC,Brighton & Hove Albion FC,2 - 1
Nottingham Forest FC,West Ham United FC,3 - 0
Southampton FC,Everton FC,1 - 0
Wolverhampton Wanderers FC,Crystal Palace FC,2 - 2
Tottenham Hotspur FC,Aston Villa FC,4 - 1
Manchester United FC,Chelsea FC,1 - 1
Fulham FC,Brentford FC,2 - 1
Brentford FC,AFC Bournemouth,3 - 2
Crystal Palace FC,Fulham FC,0 - 2
West Ham United FC,Everton FC,0 - 0
Wolverhampton Wanderers FC,Southampton FC,2 - 0
Brighton & Hove Albion FC,Manchester City FC,2 - 1
Liverpool FC,Aston Villa FC,2 - 0
Manchester United FC,Leicester City FC,3 - 0
Nottingham Forest FC,Newcastle United FC,1 - 3
Tottenham Hotspur FC,Ipswich Town FC,1 - 2
Chelsea FC,Arsenal FC,1 - 1
Leicester City FC,Chelsea FC,1 - 2
AFC Bournemouth,Brighton & Hove Albion FC,1 - 2
Arsenal FC,Nottingham Forest FC,3 - 0
Aston Villa FC,Crystal Palace FC,2 - 2
Everton FC,Brentford FC,0 - 0
Fulham FC,Wolverhampton Wanderers FC,1 - 4
Manchester City FC,Tottenham Hotspur FC,0 - 4
Southampton FC,Liverpool FC,2 - 3
Ipswich Town FC,Manchester United FC,1 - 1
Newcastle United FC,West Ham United FC,0 - 2
Brighton & Hove Albion FC,Southampton FC,1 - 1
Brentford FC,Leicester City FC,4 - 1
Crystal Palace FC,Newcastle United FC,1 - 1
Nottingham Forest FC,Ipswich Town FC,1 - 0
Wolverhampton Wanderers FC,AFC Bournemouth,2 - 4
West Ham United FC,Arsenal FC,2 - 5
Chelsea FC,Aston Villa FC,3 - 0
Manchester United FC,Everton FC,4 - 0
Tottenham Hotspur FC,Fulham FC,1 - 1
Liverpool FC,Manchester City FC,2 - 0
Ipswich Town FC,Crystal Palace FC,0 - 1
Leicester City FC,West Ham United FC,3 - 1
Everton FC,Wolverhampton Wanderers FC,4 - 0
Manchester City FC,Nottingham Forest FC,3 - 0
Newcastle United FC,Liverpool FC,3 - 3
Southampton FC,Chelsea FC,1 - 5
Arsenal FC,Manchester United FC,2 - 0
Aston Villa FC,Brentford FC,3 - 1
Fulham FC,Brighton & Hove Albion FC,3 - 1
AFC Bournemouth,Tottenham Hotspur FC,1 - 0
Everton FC,Liverpool FC,None - None
Aston Villa FC,Southampton FC,1 - 0
Brentford FC,Newcastle United FC,4 - 2
Crystal Palace FC,Manchester City FC,2 - 2
Manchester United FC,Nottingham Forest FC,2 - 3
Fulham FC,Arsenal FC,1 - 1
Ipswich Town FC,AFC Bournemouth,1 - 2
Leicester City FC,Brighton & Hove Albion FC,2 - 2
Tottenham Hotspur FC,Chelsea FC,3 - 4
West Ham United FC,Wolverhampton Wanderers FC,2 - 1
Arsenal FC,Everton FC,0 - 0
Liverpool FC,Fulham FC,2 - 2
Newcastle United FC,Leicester City FC,4 - 0
Wolverhampton Wanderers FC,Ipswich Town FC,1 - 2
Nottingham Forest FC,Aston Villa FC,2 - 1
Brighton & Hove Albion FC,Crystal Palace FC,1 - 3
Manchester City FC,Manchester United FC,1 - 2
Chelsea FC,Brentford FC,2 - 1
Southampton FC,Tottenham Hotspur FC,0 - 5
AFC Bournemouth,West Ham United FC,1 - 1
Aston Villa FC,Manchester City FC,2 - 1
Brentford FC,Nottingham Forest FC,0 - 2
Ipswich Town FC,Newcastle United FC,0 - 4
West Ham United FC,Brighton & Hove Albion FC,1 - 1
Crystal Palace FC,Arsenal FC,1 - 5
Everton FC,Chelsea FC,0 - 0
Fulham FC,Southampton FC,0 - 0
Leicester City FC,Wolverhampton Wanderers FC,0 - 3
Manchester United FC,AFC Bournemouth,0 - 3
Tottenham Hotspur FC,Liverpool FC,None - None
Manchester City FC,Everton FC,None - None
AFC Bournemouth,Crystal Palace FC,None - None
Chelsea FC,Fulham FC,None - None
Newcastle United FC,Aston Villa FC,None - None
Nottingham Forest FC,Tottenham Hotspur FC,None - None
Southampton FC,West Ham United FC,None - None
Wolverhampton Wanderers FC,Manchester United FC,None - None
Liverpool FC,Leicester City FC,None - None
Brighton & Hove Albion FC,Brentford FC,None - None
Arsenal FC,Ipswich Town FC,None - None
Leicester City FC,Manchester City FC,None - None
Crystal Palace FC,Southampton FC,None - None
Everton FC,Nottingham Forest FC,None - None
Fulham FC,AFC Bournemouth,None - None
Tottenham Hotspur FC,Wolverhampton Wanderers FC,None - None
West Ham United FC,Liverpool FC,None - None
Aston Villa FC,Brighton & Hove Albion FC,None - None
Ipswich Town FC,Chelsea FC,None - None
Manchester United FC,Newcastle United FC,None - None
Brentford FC,Arsenal FC,None - None
Tottenham Hotspur FC,Newcastle United FC,None - None
Southampton FC,Brentford FC,None - None
Crystal Palace FC,Chelsea FC,None - None
AFC Bournemouth,Everton FC,None - None
Aston Villa FC,Leicester City FC,None - None
Manchester City FC,West Ham United FC,None - None
Brighton & Hove Albion FC,Arsenal FC,None - None
Fulham FC,Ipswich Town FC,None - None
Liverpool FC,Manchester United FC,None - None
Wolverhampton Wanderers FC,Nottingham Forest FC,None - None
West Ham United FC,Fulham FC,None - None
Brentford FC,Manchester City FC,None - None
Chelsea FC,AFC Bournemouth,None - None
Nottingham Forest FC,Liverpool FC,None - None
Everton FC,Aston Villa FC,None - None
Leicester City FC,Crystal Palace FC,None - None
Newcastle United FC,Wolverhampton Wanderers FC,None - None
Arsenal FC,Tottenham Hotspur FC,None - None
Ipswich Town FC,Brighton & Hove Albion FC,None - None
Manchester United FC,Southampton FC,None - None
Newcastle United FC,AFC Bournemouth,None - None
West Ham United FC,Crystal Palace FC,None - None
Leicester City FC,Fulham FC,None - None
Brentford FC,Liverpool FC,None - None
Arsenal FC,Aston Villa FC,None - None
Manchester United FC,Brighton & Hove Albion FC,None - None
Nottingham Forest FC,Southampton FC,None - None
Everton FC,Tottenham Hotspur FC,None - None
Ipswich Town FC,Manchester City FC,None - None
Chelsea FC,Wolverhampton Wanderers FC,None - None
Liverpool FC,Ipswich Town FC,None - None
Wolverhampton Wanderers FC,Arsenal FC,None - None
Brighton & Hove Albion FC,Everton FC,None - None
Southampton FC,Newcastle United FC,None - None
AFC Bournemouth,Nottingham Forest FC,None - None
Manchester City FC,Chelsea FC,None - None
Crystal Palace FC,Brentford FC,None - None
Tottenham Hotspur FC,Leicester City FC,None - None
Aston Villa FC,West Ham United FC,None - None
Fulham FC,Manchester United FC,None - None
Nottingham Forest FC,Brighton & Hove Albion FC,None - None
Newcastle United FC,Fulham FC,None - None
Everton FC,Leicester City FC,None - None
AFC Bournemouth,Liverpool FC,None - None
Ipswich Town FC,Southampton FC,None - None
Wolverhampton Wanderers FC,Aston Villa FC,None - None
Manchester United FC,Crystal Palace FC,None - None
Brentford FC,Tottenham Hotspur FC,None - None
Arsenal FC,Manchester City FC,None - None
Chelsea FC,West Ham United FC,None - None
Brighton & Hove Albion FC,Chelsea FC,None - None
Leicester City FC,Arsenal FC,None - None
Southampton FC,AFC Bournemouth,None - None
West Ham United FC,Brentford FC,None - None
Aston Villa FC,Ipswich Town FC,None - None
Manchester City FC,Newcastle United FC,None - None
Fulham FC,Nottingham Forest FC,None - None
Crystal Palace FC,Everton FC,None - None
Liverpool FC,Wolverhampton Wanderers FC,None - None
Tottenham Hotspur FC,Manchester United FC,None - None
Leicester City FC,Brentford FC,None - None
Everton FC,Manchester United FC,None - None
Ipswich Town FC,Tottenham Hotspur FC,None - None
Fulham FC,Crystal Palace FC,None - None
Arsenal FC,West Ham United FC,None - None
AFC Bournemouth,Wolverhampton Wanderers FC,None - None
Southampton FC,Brighton & Hove Albion FC,None - None
Aston Villa FC,Chelsea FC,None - None
Newcastle United FC,Nottingham Forest FC,None - None
Manchester City FC,Liverpool FC,None - None
Brighton & Hove Albion FC,AFC Bournemouth,None - None
Nottingham Forest FC,Arsenal FC,None - None
Brentford FC,Everton FC,None - None
Wolverhampton Wanderers FC,Fulham FC,None - None
Tottenham Hotspur FC,Manchester City FC,None - None
West Ham United FC,Leicester City FC,None - None
Crystal Palace FC,Aston Villa FC,None - None
Chelsea FC,Southampton FC,None - None
Manchester United FC,Ipswich Town FC,None - None
Liverpool FC,Newcastle United FC,None - None
Tottenham Hotspur FC,AFC Bournemouth,None - None
Manchester United FC,Arsenal FC,None - None
Brentford FC,Aston Villa FC,None - None
Wolverhampton Wanderers FC,Everton FC,None - None
Brighton & Hove Albion FC,Fulham FC,None - None
Crystal Palace FC,Ipswich Town FC,None - None
West Ham United FC,Newcastle United FC,None - None
Nottingham Forest FC,Manchester City FC,None - None
Liverpool FC,Southampton FC,None - None
Chelsea FC,Leicester City FC,None - None
AFC Bournemouth,Brentford FC,None - None
Arsenal FC,Chelsea FC,None - None
Aston Villa FC,Liverpool FC,None - None
Everton FC,West Ham United FC,None - None
Fulham FC,Tottenham Hotspur FC,None - None
Ipswich Town FC,Nottingham Forest FC,None - None
Leicester City FC,Manchester United FC,None - None
Manchester City FC,Brighton & Hove Albion FC,None - None
Newcastle United FC,Crystal Palace FC,None - None
Southampton FC,Wolverhampton Wanderers FC,None - None
AFC Bournemouth,Ipswich Town FC,None - None
Arsenal FC,Fulham FC,None - None
Brighton & Hove Albion FC,Aston Villa FC,None - None
Nottingham Forest FC,Manchester United FC,None - None
Wolverhampton Wanderers FC,West Ham United FC,None - None
Chelsea FC,Tottenham Hotspur FC,None - None
Manchester City FC,Leicester City FC,None - None
Newcastle United FC,Brentford FC,None - None
Southampton FC,Crystal Palace FC,None - None
Liverpool FC,Everton FC,None - None
Aston Villa FC,Nottingham Forest FC,None - None
Brentford FC,Chelsea FC,None - None
Crystal Palace FC,Brighton & Hove Albion FC,None - None
Everton FC,Arsenal FC,None - None
Fulham FC,Liverpool FC,None - None
Ipswich Town FC,Wolverhampton Wanderers FC,None - None
Leicester City FC,Newcastle United FC,None - None
Manchester United FC,Manchester City FC,None - None
Tottenham Hotspur FC,Southampton FC,None - None
West Ham United FC,AFC Bournemouth,None - None
AFC Bournemouth,Fulham FC,None - None
Arsenal FC,Brentford FC,None - None
Brighton & Hove Albion FC,Leicester City FC,None - None
Chelsea FC,Ipswich Town FC,None - None
Liverpool FC,West Ham United FC,None - None
Manchester City FC,Crystal Palace FC,None - None
Newcastle United FC,Manchester United FC,None - None
Nottingham Forest FC,Everton FC,None - None
Southampton FC,Aston Villa FC,None - None
Wolverhampton Wanderers FC,Tottenham Hotspur FC,None - None
Aston Villa FC,Newcastle United FC,None - None
Brentford FC,Brighton & Hove Albion FC,None - None
Crystal Palace FC,AFC Bournemouth,None - None
Everton FC,Manchester City FC,None - None
Fulham FC,Chelsea FC,None - None
Ipswich Town FC,Arsenal FC,None - None
Leicester City FC,Liverpool FC,None - None
Manchester United FC,Wolverhampton Wanderers FC,None - None
Tottenham Hotspur FC,Nottingham Forest FC,None - None
West Ham United FC,Southampton FC,None - None
AFC Bournemouth,Manchester United FC,None - None
Arsenal FC,Crystal Palace FC,None - None
Brighton & Hove Albion FC,West Ham United FC,None - None
Chelsea FC,Everton FC,None - None
Liverpool FC,Tottenham Hotspur FC,None - None
Manchester City FC,Aston Villa FC,None - None
Newcastle United FC,Ipswich Town FC,None - None
Nottingham Forest FC,Brentford FC,None - None
Southampton FC,Fulham FC,None - None
Wolverhampton Wanderers FC,Leicester City FC,None - None
Arsenal FC,AFC Bournemouth,None - None
Aston Villa FC,Fulham FC,None - None
Brentford FC,Manchester United FC,None - None
Brighton & Hove Albion FC,Newcastle United FC,None - None
Chelsea FC,Liverpool FC,None - None
Crystal Palace FC,Nottingham Forest FC,None - None
Everton FC,Ipswich Town FC,None - None
Leicester City FC,Southampton FC,None - None
Manchester City FC,Wolverhampton Wanderers FC,None - None
West Ham United FC,Tottenham Hotspur FC,None - None
AFC Bournemouth,Aston Villa FC,None - None
Fulham FC,Everton FC,None - None
Ipswich Town FC,Brentford FC,None - None
Liverpool FC,Arsenal FC,None - None
Manchester United FC,West Ham United FC,None - None
Newcastle United FC,Chelsea FC,None - None
Nottingham Forest FC,Leicester City FC,None - None
Southampton FC,Manchester City FC,None - None
Tottenham Hotspur FC,Crystal Palace FC,None - None
Wolverhampton Wanderers FC,Brighton & Hove Albion FC,None - None
Arsenal FC,Newcastle United FC,None - None
Aston Villa FC,Tottenham Hotspur FC,None - None
Brentford FC,Fulham FC,None - None
Brighton & Hove Albion FC,Liverpool FC,None - None
Chelsea FC,Manchester United FC,None - None
Crystal Palace FC,Wolverhampton Wanderers FC,None - None
Everton FC,Southampton FC,None - None
Leicester City FC,Ipswich Town FC,None - None
Manchester City FC,AFC Bournemouth,None - None
West Ham United FC,Nottingham Forest FC,None - None
AFC Bournemouth,Leicester City FC,None - None
Fulham FC,Manchester City FC,None - None
Ipswich Town FC,West Ham United FC,None - None
Liverpool FC,Crystal Palace FC,None - None
Manchester United FC,Aston Villa FC,None - None
Newcastle United FC,Everton FC,None - None
Nottingham Forest FC,Chelsea FC,None - None
Southampton FC,Arsenal FC,None - None
Tottenham Hotspur FC,Brighton & Hove Albion FC,None - None
Wolverhampton Wanderers FC,Brentford FC,None - None
